,index,latitude,longitude,address,id
0,0,31.237872,121.470259,31.237872-121.470259,0
1,14,31.246946,121.513919,31.246946-121.513919,1
2,15,31.232877,121.48753,31.232877-121.48753,2
3,28,31.227933,121.45361,31.227933-121.45361,3
4,50,31.235682,121.487831,31.235682-121.487831,4
5,58,31.251358,121.485526,31.251358-121.485526,5
6,76,31.244229,121.475231,31.244229-121.475231,6
7,81,31.23936,121.488752,31.23936-121.488752,7
8,82,31.244859,121.489305,31.244859-121.489305,8
9,88,31.23543,121.447652,31.23543-121.447652,9
10,92,31.239655,121.478097,31.239655-121.478097,10
11,116,31.228014,121.477667,31.228014-121.477667,11
12,133,31.328545,121.538592,31.328545-121.538592,12
13,135,31.234259,121.52572,31.234259-121.52572,13
14,169,31.229094,121.480266,31.229094-121.480266,14
15,173,31.232518,121.465177,31.232518-121.465177,15
16,185,31.225207,121.452948,31.225207-121.452948,16
17,194,31.242893,121.465382,31.242893-121.465382,17
18,201,31.240874,121.518086,31.240874-121.518086,18
19,216,31.217516,121.452872,31.217516-121.452872,19
20,231,31.228017,121.444777,31.228017-121.444777,20
21,233,31.221325,121.448881,31.221325-121.448881,21
22,243,31.23271,121.455345,31.23271-121.455345,22
23,249,31.236138,121.463199,31.236138-121.463199,23
24,253,31.225275,121.47164,31.225275-121.47164,24
25,270,31.24143,121.475172,31.24143-121.475172,25
26,309,31.232857,121.475333,31.232857-121.475333,26
27,312,31.228726,121.482748,31.228726-121.482748,27
28,322,31.236381,121.484201,31.236381-121.484201,28
29,335,31.242514,121.493696,31.242514-121.493696,29
30,344,31.233516,121.491431,31.233516-121.491431,30
31,365,31.22622,121.506261,31.22622-121.506261,31
32,373,31.223981,121.478274,31.223981-121.478274,32
33,380,31.224117,121.4732,31.224117-121.4732,33
34,423,31.256071,121.462096,31.256071-121.462096,34
35,426,31.237435,121.455917,31.237435-121.455917,35
36,430,31.236009,121.478941,31.236009-121.478941,36
37,432,31.224552,121.482535,31.224552-121.482535,37
38,433,31.200811,121.444401,31.200811-121.444401,38
39,443,31.166058,121.403691,31.166058-121.403691,39
40,448,31.228047,121.425893,31.228047-121.425893,40
41,449,31.224154,121.43807,31.224154-121.43807,41
42,452,31.229071,121.452449,31.229071-121.452449,42
43,455,31.234499,121.463079,31.234499-121.463079,43
44,461,31.242867,121.490229,31.242867-121.490229,44
45,465,31.244555,121.5099,31.244555-121.5099,45
46,468,31.236828,121.514196,31.236828-121.514196,46
47,471,31.234796,121.533464,31.234796-121.533464,47
48,475,31.224126,121.547664,31.224126-121.547664,48
49,476,31.221777,121.558508,31.221777-121.558508,49
50,477,31.207247,121.572933,31.207247-121.572933,50
51,479,31.242837,121.455083,31.242837-121.455083,51
52,485,31.233452,121.480931,31.233452-121.480931,52
53,488,31.222609,121.378494,31.222609-121.378494,53
54,489,31.234867,121.46325,31.234867-121.46325,54
55,497,31.240453,121.511773,31.240453-121.511773,55
56,499,31.243974,121.555758,31.243974-121.555758,56
57,500,31.235043,121.523389,31.235043-121.523389,57
58,501,31.213903,121.410198,31.213903-121.410198,58
59,503,31.256232,121.498254,31.256232-121.498254,59
60,519,31.25563,121.508513,31.25563-121.508513,60
61,531,31.247009,121.47942,31.247009-121.47942,61
62,539,31.242365,121.503571,31.242365-121.503571,62
63,569,31.245624,121.522839,31.245624-121.522839,63
64,583,31.235072,121.518805,31.235072-121.518805,64
65,589,31.240478,121.526884,31.240478-121.526884,65
66,634,31.240601,121.442307,31.240601-121.442307,66
67,647,31.233984,121.524823,31.233984-121.524823,67
68,648,31.241762,121.50497,31.241762-121.50497,68
69,654,31.24478,121.505751,31.24478-121.505751,69
70,662,31.228627,121.480756,31.228627-121.480756,70
71,692,31.242584,121.449606,31.242584-121.449606,71
72,693,31.230395,121.46599,31.230395-121.46599,72
73,703,31.241014,121.48529,31.241014-121.48529,73
74,737,31.239454,121.46057,31.239454-121.46057,74
75,743,31.233674,121.498294,31.233674-121.498294,75
76,760,31.236177,121.493181,31.236177-121.493181,76
77,764,31.235177,121.451385,31.235177-121.451385,77
78,766,31.255256,121.500499,31.255256-121.500499,78
79,786,31.223004,121.465956,31.223004-121.465956,79
80,789,31.240013,121.487148,31.240013-121.487148,80
81,793,31.241577,121.485099,31.241577-121.485099,81
